tic,sic
SPWRB,3690
SPXC,3585
SPY,6722
SQM,2810
SQNM,8071
SRCL,4955
SRE,4923
SRZ,8300
SSL,2890
SSP,4833
SSRM,1040
SSRM.,1040
STAR,6798
STAR.PD,6798
STAR.PE,6798
STAR.PF,6798
STAR.PG,6798
STAR.PI,6798
STE,3841
STEC,3572
STI.1,6020
STI.PA,6020
STJ,3845
STLD,3312
STM,3674
STPFQ,3674
STR.,4923
STRA,8200
STRZA,4833
STRZB,4833
STT,6020
STX,3572
STZ,2082
STZ.B,2082
SU,2911
SU.,2911
SUG,4924
SUG.PC,4924
SUN.1,2911
SUNEQ,3620
SVC,6798
SVR.1,7373
SVU,5141
